eval_set,fraction,condition,mean,sd
ETRI,0.1,continuation,0.5307043650793651,0.0611458476183377
ETRI,0.1,target_only_target_median,0.4899305555555555,0.069473952064296
ETRI,0.2,continuation,0.5344742063492064,0.0622707356505086
ETRI,0.2,target_only_target_median,0.5897718253968254,0.041079616472583
ETRI,0.4,continuation,0.5335912698412698,0.0601584242280825
ETRI,0.4,target_only_target_median,0.6268750000000001,0.0880707246836104
ETRI,0.6,continuation,0.5618452380952381,0.033599657092404
ETRI,0.6,target_only_target_median,0.6413194444444444,0.0413384060133961
ETRI,1.0,continuation,0.6207242063492063,0.0446406767545142
ETRI,1.0,target_only_target_median,0.6088988095238096,0.0672972015478191
exiD,0.1,continuation,0.9753576978409916,0.0009442963970985
exiD,0.1,target_only_target_median,0.9827246739915544,0.0004857906446614
exiD,0.2,continuation,0.9795900082259252,0.0005526519763442
exiD,0.2,target_only_target_median,0.9848416946414948,0.0006143839927324
exiD,0.4,continuation,0.9813533309373172,0.0006913501337363
exiD,0.4,target_only_target_median,0.9864210056575204,0.0005742227789564
exiD,0.6,continuation,0.9825249807063284,0.0007926525562004
exiD,0.6,target_only_target_median,0.9867431822853416,0.0006607673737337
exiD,1.0,continuation,0.9834270912046676,0.0006211495114061
exiD,1.0,target_only_target_median,0.9874642144129708,0.000413255560785
uniD,0.1,continuation,0.8168149442540544,0.0028961183654533
uniD,0.1,target_only_target_median,0.8214714271282618,0.0089702494511141
uniD,0.2,continuation,0.8510333330826806,0.0047230013418741
uniD,0.2,target_only_target_median,0.8628419785330522,0.0012031038320599
uniD,0.4,continuation,0.8697705340733283,0.004056941179546
uniD,0.4,target_only_target_median,0.8868872419295495,0.0016015959308818
uniD,0.6,continuation,0.8796081943945192,0.0040660555449289
uniD,0.6,target_only_target_median,0.8956763660242492,0.0014708446974074
uniD,1.0,continuation,0.8870472616426331,0.0023909638196472
uniD,1.0,target_only_target_median,0.90335473539138,0.0032115127039358
