eval_set,bin,n,mean_pred,positive_fraction
in_domain,0,2133,0.0401668704779146,0.0229723394280356
in_domain,1,1657,0.1496595758304008,0.1279420639710319
in_domain,2,1558,0.2489252106904677,0.2464698331193838
in_domain,3,1385,0.3488455412620241,0.3588447653429603
in_domain,4,1224,0.4500480849125416,0.4730392156862745
in_domain,5,1130,0.5494042911360749,0.552212389380531
in_domain,6,1131,0.6498734544695847,0.6525198938992043
in_domain,7,1212,0.749512599984018,0.7648514851485149
in_domain,8,1610,0.8530689520865493,0.8515527950310559
in_domain,9,2536,0.9493987993205008,0.9546529968454258
ETRI,0,22,0.0538906037743965,0.2727272727272727
ETRI,1,32,0.1446780590340495,0.6875
ETRI,2,39,0.2511694450408984,0.5641025641025641
ETRI,3,27,0.3508417087572592,0.7037037037037037
ETRI,4,28,0.4611405804753303,0.4642857142857143
ETRI,5,31,0.5611621045297192,0.4516129032258064
ETRI,6,25,0.6524795866012574,0.36
ETRI,7,30,0.7404366374015808,0.6
ETRI,8,14,0.8455739830221448,0.4285714285714285
ETRI,9,13,0.9499882459640504,0.3076923076923077
uniD,0,613,0.0581113088923106,0.5448613376835236
uniD,1,686,0.1481818222921374,0.5510204081632653
uniD,2,742,0.2493249604282675,0.4366576819407008
uniD,3,763,0.3481292029742645,0.4652686762778505
uniD,4,868,0.4532967481401659,0.5368663594470046
uniD,5,1143,0.5509701719017063,0.5896762904636921
uniD,6,1350,0.6499155528015561,0.5488888888888889
uniD,7,1649,0.751638020111475,0.5130382049727107
uniD,8,1783,0.8511120538262257,0.4598990465507571
uniD,9,1502,0.9415075903964264,0.4826897470039947
exiD,0,1673,0.0692825547160076,0.484160191273162
exiD,1,4518,0.1506192178942424,0.6370075254537406
exiD,2,5281,0.2513095375839631,0.6053777693618633
exiD,3,6020,0.3512819289517561,0.6066445182724253
exiD,4,7126,0.451755680292301,0.6192815043502666
exiD,5,8377,0.5511429388112977,0.618479169153635
exiD,6,9468,0.6509513411785814,0.6214617659484579
exiD,7,10904,0.7515072076856784,0.596019809244314
exiD,8,13636,0.8520346964584065,0.5803754766793782
exiD,9,15921,0.9483761924923414,0.5649142641793857
POOLED_NO_EMT,0,2308,0.0661687780216221,0.4982668977469671
POOLED_NO_EMT,1,5236,0.1502635703643398,0.6260504201680672
POOLED_NO_EMT,2,6062,0.2510657203852324,0.5844605740679644
POOLED_NO_EMT,3,6810,0.3509269486483673,0.5911894273127754
POOLED_NO_EMT,4,8022,0.4519551846674035,0.6098229867863376
POOLED_NO_EMT,5,9551,0.5511547827605814,0.6144906292534813
POOLED_NO_EMT,6,10843,0.6508259046597751,0.6118232961357558
POOLED_NO_EMT,7,12583,0.7514979565199481,0.5851545736310896
POOLED_NO_EMT,8,15433,0.8519222412130694,0.5663189269746647
POOLED_NO_EMT,9,17436,0.94778570822686,0.557639366827254
