target,frac,gain,lo,hi,n_units,valid
ETRI,0.1,0.0407738095238095,-0.094613345373762,0.1396562588023889,41,2000
ETRI,0.2,-0.055297619047619,-0.1322602091959016,0.0567080043106233,41,2000
ETRI,0.4,-0.0932837301587301,-0.1779767814032065,0.0432109892802514,41,2000
ETRI,0.6,-0.0794742063492063,-0.1826424649202519,0.1127204479365936,41,2000
ETRI,1.0,0.0118253968253968,-0.075299952156487,0.150074933491488,41,2000
uniD,0.1,-0.0046564828742073,-0.0111946726543201,0.001827337912295,2725,2000
uniD,0.2,-0.0118086454503716,-0.0172446837915629,-0.0063802796146346,2725,2000
uniD,0.4,-0.0171167078562211,-0.0220639404878763,-0.012372613288536,2725,2000
uniD,0.6,-0.0160681716297299,-0.0209559729758011,-0.0113593199200889,2725,2000
uniD,1.0,-0.0163074737487468,-0.0210446805316459,-0.0120180084496187,2725,2000
exiD,0.1,-0.0073669761505628,-0.0080735937870485,-0.0066822953303591,13857,2000
exiD,0.2,-0.0052516864155693,-0.0058960230217316,-0.0045931185550828,13857,2000
exiD,0.4,-0.0050676747202033,-0.0056894403797141,-0.0044630625426866,13857,2000
exiD,0.6,-0.0042182015790133,-0.0048146200704026,-0.0036103097877188,13857,2000
exiD,1.0,-0.0040371232083031,-0.004635607283688,-0.0034653219201537,13857,2000
