target,frac,seed,gain
ETRI,0.1,42,-0.0260416666666666
ETRI,0.1,0,0.0906249999999999
ETRI,0.1,1,0.0577380952380953
ETRI,0.2,42,-0.0046874999999999
ETRI,0.2,0,0.0334375
ETRI,0.2,1,-0.1946428571428571
ETRI,0.4,42,-0.1604166666666668
ETRI,0.4,0,0.1043750000000001
ETRI,0.4,1,-0.2238095238095238
ETRI,0.6,42,-0.0604166666666667
ETRI,0.6,0,-0.0756249999999998
ETRI,0.6,1,-0.1023809523809524
ETRI,1.0,42,-0.0197916666666666
ETRI,1.0,0,0.1106249999999999
ETRI,1.0,1,-0.0553571428571426
uniD,0.1,42,0.0058666502407765
uniD,0.1,0,-0.0056915265496993
uniD,0.1,1,-0.0141445723136991
uniD,0.2,42,-0.0134534841844752
uniD,0.2,0,-0.0042323374295063
uniD,0.2,1,-0.0177401147371334
uniD,0.4,42,-0.0216175546409627
uniD,0.4,0,-0.0092312568172852
uniD,0.4,1,-0.0205013121104156
uniD,0.6,42,-0.0169218159123796
uniD,0.6,0,-0.0093280767713338
uniD,0.6,1,-0.0219546222054765
uniD,1.0,42,-0.0126364725048362
uniD,1.0,0,-0.012237752094502
uniD,1.0,1,-0.0240481966469023
exiD,0.1,42,-0.0080232427530435
exiD,0.1,0,-0.0067775945331743
exiD,0.1,1,-0.0073000911654705
exiD,0.2,42,-0.0054892141509437
exiD,0.2,0,-0.0050867490516832
exiD,0.2,1,-0.0051790960440811
exiD,0.4,42,-0.004944780556831
exiD,0.4,0,-0.0050195431939357
exiD,0.4,1,-0.0052387004098433
exiD,0.6,42,-0.0041744331877371
exiD,0.6,0,-0.0040380850172223
exiD,0.6,1,-0.0044420865320805
exiD,1.0,42,-0.0035789190612504
exiD,1.0,0,-0.0045204310591127
exiD,1.0,1,-0.0040120195045464
