analysis,eval_set,unit,fraction,n_requested,n_valid,n_invalid,ci_low,ci_high,max_replicate_delta,point,n_groups
A1,ETRI,vehicle,,2000,2000,0,0.4073287606609921,0.5823811187051675,2.220446049250313e-16,0.4943609022556391,59
A1,ETRI,recording,,2000,2000,0,0.3989412136536031,0.5681197478991596,1.1102230246251563e-16,0.4943609022556391,5
A1,uniD,vehicle,,2000,2000,0,0.5339087151677657,0.5574547265805015,1.1102230246251563e-16,0.5459413453738473,4168
A1,uniD,recording,,2000,2000,0,0.5287766768431995,0.5590454065382373,1.1102230246251563e-16,0.5459413453738473,13
A1,exiD,vehicle,,2000,2000,0,0.4827290728402676,0.4896290546302146,1.1102230246251563e-16,0.486139917739197,21085
A1,exiD,recording,,2000,2000,0,0.4663616834219422,0.5085997505758548,1.1102230246251563e-16,0.486139917739197,181
A1,exiD,physical_recording,,2000,2000,0,0.4736400523254931,0.5027874084667603,1.1102230246251563e-16,0.486139917739197,93
A1,pooled,vehicle,,2000,2000,0,0.4942902911971857,0.5008785279538734,1.1102230246251563e-16,0.497534789001997,25312
A1,pooled,recording,,2000,2000,0,0.4793305220406067,0.5159254531092609,1.1102230246251563e-16,0.497534789001997,199
A1,pooled,physical_recording,,2000,2000,0,0.4853534257366698,0.513118036248036,1.1102230246251563e-16,0.497534789001997,111
A2_physical_recording,exiD,physical_recording,0.1,2000,2000,0,-0.0104615127854999,-0.0045418490344031,2.220446049250313e-16,-0.0072717329054412,59
A2_physical_recording,exiD,physical_recording,0.2,2000,2000,0,-0.0103576582878362,-0.0042383589300026,2.220446049250313e-16,-0.0071511913026654,59
A2_physical_recording,exiD,physical_recording,0.4,2000,2000,0,-0.0093940791246024,-0.0035456151287378,2.220446049250313e-16,-0.0063538788828713,59
A2_physical_recording,exiD,physical_recording,0.6,2000,2000,0,-0.0079286237645605,-0.0028123462943178,2.593411596585326e-16,-0.0051680332180386,59
A2_physical_recording,exiD,physical_recording,1.0,2000,2000,0,-0.0070489192739506,-0.0024160244850104,2.220446049250313e-16,-0.0045273160846329,59
A2_recording,ETRI,recording,0.1,2000,1003,997,-0.1423536713940754,-0.1423536713940754,2.775557561562892e-17,-0.1423536713940754,2
A2_recording,ETRI,recording,0.2,2000,1003,997,-0.1307434615515423,-0.1307434615515423,0.0,-0.1307434615515423,2
A2_recording,ETRI,recording,0.4,2000,1003,997,-0.2023390470360167,-0.2023390470360167,5.551115123125783e-17,-0.2023390470360167,2
A2_recording,ETRI,recording,0.6,2000,1003,997,-0.1764445804849845,-0.1764445804849845,8.326672684688674e-17,-0.1764445804849845,2
A2_recording,ETRI,recording,1.0,2000,1003,997,-0.1370013263952657,-0.1370013263952657,5.551115123125783e-17,-0.1370013263952657,2
A2_recording,exiD,physical_recording,0.1,2000,2000,0,-0.0145681174521538,-0.0075539108718585,2.220446049250313e-16,-0.0115083659185181,78
A2_recording,exiD,physical_recording,0.2,2000,2000,0,-0.0115742677488532,-0.0058055734897722,2.584737979205442e-16,-0.008840444301424,78
A2_recording,exiD,physical_recording,0.4,2000,2000,0,-0.0109418141520719,-0.0047636871052875,1.8561541192951838e-16,-0.0079870383987014,78
A2_recording,exiD,physical_recording,0.6,2000,2000,0,-0.0113641871510331,-0.0050024905928621,2.220446049250313e-16,-0.0082496416898819,78
A2_recording,exiD,physical_recording,1.0,2000,2000,0,-0.0007237530760595,0.00831399558214,2.220446049250313e-16,0.0040812564131168,78
A2_recording,uniD,recording,0.1,2000,1866,134,-0.0384216467001049,-0.0128881586203503,1.873501354054952e-16,-0.0238432563196497,7
A2_recording,uniD,recording,0.2,2000,1866,134,-0.0379434570451628,-0.0218652061102523,2.220446049250313e-16,-0.0272135899909742,7
A2_recording,uniD,recording,0.4,2000,1866,134,-0.0420379405262733,-0.0240974277685437,1.873501354054952e-16,-0.0289360606868144,7
A2_recording,uniD,recording,0.6,2000,1866,134,-0.0312246370934887,-0.0193169626943365,1.873501354054952e-16,-0.022350714018642,7
A2_recording,uniD,recording,1.0,2000,1866,134,-0.0296704476502861,-0.0192538137691117,1.8388068845354155e-16,-0.0224863632266889,7
