Target,Pool fraction,Target only,Continuation,Gain,Recording 95% CI
ETRI,10%,0.6058,0.4634,-0.1424,Not estimable*
ETRI,20%,0.5801,0.4494,-0.1307,Not estimable*
ETRI,40%,0.6919,0.4896,-0.2023,Not estimable*
ETRI,60%,0.6925,0.5160,-0.1764,Not estimable*
ETRI,100%,0.6437,0.5067,-0.1370,Not estimable*
uniD,10%,0.8369,0.8130,-0.0238,"[-0.0384, -0.0129]"
uniD,20%,0.8676,0.8404,-0.0272,"[-0.0379, -0.0219]"
uniD,40%,0.8899,0.8609,-0.0289,"[-0.0420, -0.0241]"
uniD,60%,0.8968,0.8745,-0.0224,"[-0.0312, -0.0193]"
uniD,100%,0.9023,0.8799,-0.0225,"[-0.0297, -0.0193]"
exiD,10%,0.9773,0.9700,-0.0073,"[-0.0105, -0.0045]"
exiD,20%,0.9794,0.9722,-0.0072,"[-0.0104, -0.0042]"
exiD,40%,0.9808,0.9744,-0.0064,"[-0.0094, -0.0035]"
exiD,60%,0.9810,0.9759,-0.0052,"[-0.0079, -0.0028]"
exiD,100%,0.9817,0.9772,-0.0045,"[-0.0070, -0.0024]"
