Target,Pool fraction,Target only,Continuation,Gain,Paired vehicle 95% CI
ETRI,10%,0.4899,0.5307,+0.0408,"[-0.0946, +0.1397]"
ETRI,20%,0.5898,0.5345,-0.0553,"[-0.1323, +0.0567]"
ETRI,40%,0.6269,0.5336,-0.0933,"[-0.1780, +0.0432]"
ETRI,60%,0.6413,0.5618,-0.0795,"[-0.1826, +0.1127]"
ETRI,100%,0.6089,0.6207,+0.0118,"[-0.0753, +0.1501]"
uniD,10%,0.8215,0.8168,-0.0047,"[-0.0112, +0.0018]"
uniD,20%,0.8628,0.8510,-0.0118,"[-0.0172, -0.0064]"
uniD,40%,0.8869,0.8698,-0.0171,"[-0.0221, -0.0124]"
uniD,60%,0.8957,0.8796,-0.0161,"[-0.0210, -0.0114]"
uniD,100%,0.9034,0.8870,-0.0163,"[-0.0210, -0.0120]"
exiD,10%,0.9827,0.9754,-0.0074,"[-0.0081, -0.0067]"
exiD,20%,0.9848,0.9796,-0.0053,"[-0.0059, -0.0046]"
exiD,40%,0.9864,0.9814,-0.0051,"[-0.0057, -0.0045]"
exiD,60%,0.9867,0.9825,-0.0042,"[-0.0048, -0.0036]"
exiD,100%,0.9875,0.9834,-0.0040,"[-0.0046, -0.0035]"
