target,frac,source_only,src_to_tgt,target_only,transfer_gain
EMT,0.0,0.6059,,,
EMT,0.1,,0.6017,0.6363,-0.0346
EMT,0.2,,0.6042,0.6033,0.0009
EMT,0.4,,0.6169,0.6215,-0.0046
EMT,0.6,,0.5958,0.6368,-0.041
EMT,1.0,,0.614,0.6747,-0.0607
ETRI,0.0,0.5013,,,
ETRI,0.1,,0.5336,0.5556,-0.022
ETRI,0.2,,0.535,0.6085,-0.0735
ETRI,0.4,,0.5419,0.6371,-0.0952
ETRI,0.6,,0.5428,0.632,-0.0892
ETRI,1.0,,0.5704,0.6769,-0.1065
exiD,0.0,0.4851,,,
exiD,0.1,,0.9752,0.9839,-0.0087
exiD,0.2,,0.9796,0.9861,-0.0065
exiD,0.4,,0.9815,0.9872,-0.0057
exiD,0.6,,0.9827,0.9879,-0.0052
exiD,1.0,,0.9839,0.9882,-0.0043
uniD,0.0,0.5033,,,
uniD,0.1,,0.8079,0.8293,-0.0214
uniD,0.2,,0.8432,0.8692,-0.026
uniD,0.4,,0.8617,0.8779,-0.0162
uniD,0.6,,0.8727,0.8964,-0.0237
uniD,1.0,,0.8815,0.9033,-0.0218
