target,horizon,frac,auc_mean,auc_std,n_groups,n_rows
EMT,3,0.0,0.5975,0.0258,0.0,0.0
EMT,3,0.1,0.594,0.0293,20.0,110.6667
EMT,3,0.2,0.5976,0.0233,41.0,203.3333
EMT,3,0.4,0.596,0.02,82.0,389.3333
EMT,3,0.6,0.5899,0.032,124.0,580.6667
EMT,3,0.8,0.5857,0.0213,165.0,788.3333
EMT,3,1.0,0.6,0.0277,207.0,1007.0
EMT,5,0.0,0.5405,0.0389,0.0,0.0
EMT,5,0.1,0.5434,0.0329,13.0,62.0
EMT,5,0.2,0.5382,0.0279,26.0,137.0
EMT,5,0.4,0.5392,0.0108,52.0,271.6667
EMT,5,0.6,0.5395,0.0379,78.0,402.0
EMT,5,0.8,0.5607,0.0207,104.0,548.3333
EMT,5,1.0,0.5548,0.0228,131.0,679.0
EMT,7,0.0,0.4973,0.0457,0.0,0.0
EMT,7,0.1,0.5084,0.0309,9.0,50.6667
EMT,7,0.2,0.519,0.0411,19.0,104.6667
EMT,7,0.4,0.5086,0.0433,39.0,212.0
EMT,7,0.6,0.5605,0.0282,58.0,319.0
EMT,7,0.8,0.5429,0.0519,78.0,450.3333
EMT,7,1.0,0.5335,0.0755,98.0,545.3333
ETRI,3,0.0,0.5288,0.0767,0.0,0.0
ETRI,3,0.1,0.5591,0.0427,4.0,20.0
ETRI,3,0.2,0.5595,0.0611,8.0,32.3333
ETRI,3,0.4,0.5612,0.079,16.0,71.6667
ETRI,3,0.6,0.5686,0.0425,25.0,107.0
ETRI,3,0.8,0.5895,0.0763,33.0,151.0
ETRI,3,1.0,0.6182,0.0391,42.0,194.3333
ETRI,5,0.0,0.6139,0.065,0.0,0.0
ETRI,5,0.1,0.6033,0.0658,2.0,16.6667
ETRI,5,0.2,0.6055,0.0622,5.0,32.0
ETRI,5,0.4,0.6149,0.104,11.0,61.6667
ETRI,5,0.6,0.6253,0.1195,16.0,94.3333
ETRI,5,0.8,0.6776,0.0912,22.0,129.0
ETRI,5,1.0,0.6761,0.1096,28.0,149.0
ETRI,7,0.0,0.5041,0.1054,0.0,0.0
ETRI,7,0.1,0.5041,0.1054,2.0,7.3333
ETRI,7,0.2,0.5045,0.1052,4.0,13.3333
ETRI,7,0.4,0.5478,0.0961,8.0,45.3333
ETRI,7,0.6,0.5491,0.0898,12.0,73.3333
ETRI,7,0.8,0.5701,0.0834,16.0,96.0
ETRI,7,1.0,0.6195,0.1237,21.0,121.3333
exiD,3,0.0,0.4802,0.0032,0.0,0.0
exiD,3,0.1,0.9751,0.0011,1476.0,5833.6667
exiD,3,0.2,0.9794,0.0003,2952.0,11661.0
exiD,3,0.4,0.981,0.0009,5904.0,23303.3333
exiD,3,0.6,0.9821,0.0006,8856.0,34858.3333
exiD,3,0.8,0.9827,0.001,11808.0,46468.0
exiD,3,1.0,0.9832,0.001,14760.0,58093.6667
exiD,5,0.0,0.4393,0.006,0.0,0.0
exiD,5,0.1,0.9695,0.0018,552.0,1820.3333
exiD,5,0.2,0.9778,0.0015,1105.0,3656.6667
exiD,5,0.4,0.9826,0.0014,2210.0,7282.6667
exiD,5,0.6,0.9842,0.0018,3316.0,10952.6667
exiD,5,0.8,0.9847,0.0009,4421.0,14637.0
exiD,5,1.0,0.9854,0.0016,5527.0,18310.6667
exiD,7,0.0,0.5699,0.0041,0.0,0.0
exiD,7,0.1,0.9295,0.0033,150.0,510.6667
exiD,7,0.2,0.9461,0.0039,301.0,1022.3333
exiD,7,0.4,0.9554,0.0017,603.0,2050.0
exiD,7,0.6,0.9584,0.0006,905.0,3085.3333
exiD,7,0.8,0.9638,0.002,1207.0,4123.6667
exiD,7,1.0,0.9657,0.0027,1509.0,5138.6667
uniD,3,0.0,0.5171,0.0135,0.0,0.0
uniD,3,0.1,0.8185,0.0004,291.0,774.6667
uniD,3,0.2,0.8522,0.0058,583.0,1560.3333
uniD,3,0.4,0.8693,0.0053,1167.0,3123.6667
uniD,3,0.6,0.8786,0.0038,1750.0,4669.3333
uniD,3,0.8,0.883,0.0004,2334.0,6227.0
uniD,3,1.0,0.8868,0.0034,2918.0,7806.6667
uniD,5,0.0,0.5065,0.0034,0.0,0.0
uniD,5,0.1,0.7677,0.01,238.0,596.6667
uniD,5,0.2,0.8042,0.0053,477.0,1170.6667
uniD,5,0.4,0.834,0.0072,954.0,2346.0
uniD,5,0.6,0.8451,0.0028,1431.0,3524.0
uniD,5,0.8,0.8537,0.0029,1908.0,4681.0
uniD,5,1.0,0.8568,0.0016,2386.0,5851.6667
uniD,7,0.0,0.54,0.01,0.0,0.0
uniD,7,0.1,0.7381,0.0138,205.0,463.6667
uniD,7,0.2,0.7632,0.007,411.0,930.6667
uniD,7,0.4,0.8025,0.0075,822.0,1854.0
uniD,7,0.6,0.8108,0.0136,1233.0,2795.0
uniD,7,0.8,0.8235,0.0143,1644.0,3726.0
uniD,7,1.0,0.825,0.0103,2055.0,4647.3333
