target,horizon,feature,auc
exiD,7,lat_speed_std5,0.8425
exiD,7,abs_lat_speed_max5,0.7913
exiD,7,lat_speed,0.7737
exiD,7,lat_offset_slope5,0.7737
exiD,7,ego_speed_slope5,0.7669
exiD,7,lat_drift,0.7631
exiD,7,lat_acc,0.7119
exiD,7,lat_drift_x_vosdiff,0.6989
exiD,7,ego_acc,0.6978
exiD,7,lat_speed_x_gapdiff,0.6968
exiD,7,ego_speed_std5,0.6712
exiD,7,lat_offset_norm,0.6494
exiD,7,gap_left_back,0.6425
exiD,7,ttc_slope5,0.629
exiD,7,lat_offset,0.6156
exiD,7,ego_speed_mean5,0.606
exiD,7,ego_speed,0.6035
exiD,7,stackelberg_advantage,0.5914
exiD,7,stackelberg_lc_payoff,0.5884
exiD,7,payoff_lk,0.5877
exiD,7,stackelberg_lk_payoff,0.5877
exiD,7,lane_id,0.5839
exiD,7,vos_right,0.5823
exiD,7,ttc_x_speed,0.5779
exiD,7,payoff_gap,0.5774
exiD,7,payoff_lc_max,0.5764
exiD,7,dhw,0.5763
exiD,7,gap_diff,0.5625
exiD,7,stackelberg_nash_gap,0.562
exiD,7,vos_diff,0.5558
exiD,7,gap_right_front,0.5506
exiD,7,vos_left,0.5506
exiD,7,nash_urgency,0.5486
exiD,7,ttc_min5,0.538
exiD,7,risk_x_gapdiff,0.5376
exiD,7,speed_ratio,0.5368
exiD,7,ttc,0.5359
exiD,7,thw,0.5331
exiD,7,ttc_mean5,0.533
exiD,7,gap_left_front,0.5212
exiD,7,gap_right_back,0.5204
exiD,7,threat_asymmetry,0.5155
exiD,7,ego_best_action,0.4893
exiD,7,strategic_commitment,0.5096
exiD,7,preceding_vx,0.5055
exiD,7,follower_best_response,0.505
exiD,7,nash_lc_prob,0.5004
exiD,7,nash_lk_prob,0.5004
uniD,7,payoff_lk,0.6316
uniD,7,stackelberg_lk_payoff,0.6316
uniD,7,stackelberg_advantage,0.631
uniD,7,stackelberg_lc_payoff,0.6308
uniD,7,ego_speed,0.6274
uniD,7,ttc_x_speed,0.6274
uniD,7,speed_ratio,0.6274
uniD,7,threat_asymmetry,0.6238
uniD,7,payoff_gap,0.6233
uniD,7,nash_urgency,0.6233
uniD,7,ego_speed_mean5,0.6208
uniD,7,payoff_lc_max,0.6197
uniD,7,gap_right_front,0.6085
uniD,7,vos_right,0.6066
uniD,7,ego_acc,0.6046
uniD,7,lat_drift,0.6037
uniD,7,lane_id,0.6037
uniD,7,abs_lat_speed_max5,0.6015
uniD,7,lat_speed_std5,0.5993
uniD,7,lat_offset_norm,0.5983
uniD,7,lat_offset,0.5917
uniD,7,lat_speed,0.5891
uniD,7,lat_offset_slope5,0.5891
uniD,7,lat_acc,0.5865
uniD,7,gap_diff,0.583
uniD,7,lat_speed_x_gapdiff,0.5807
uniD,7,ego_speed_slope5,0.5806
uniD,7,strategic_commitment,0.577
uniD,7,ego_speed_std5,0.5768
uniD,7,lat_drift_x_vosdiff,0.5765
uniD,7,vos_diff,0.5647
uniD,7,risk_x_gapdiff,0.5647
uniD,7,gap_right_back,0.5416
uniD,7,vos_left,0.5404
uniD,7,gap_left_back,0.5379
uniD,7,follower_best_response,0.536
uniD,7,stackelberg_nash_gap,0.5326
uniD,7,ego_best_action,0.5087
uniD,7,ttc_slope5,0.5084
uniD,7,gap_left_front,0.4975
uniD,7,ttc,0.5
uniD,7,thw,0.5
uniD,7,dhw,0.5
uniD,7,preceding_vx,0.5
uniD,7,ttc_mean5,0.5
uniD,7,ttc_min5,0.5
uniD,7,nash_lc_prob,0.5
uniD,7,nash_lk_prob,0.5
ETRI,7,lat_drift,0.7217
ETRI,7,lat_speed,0.694
ETRI,7,lat_offset_slope5,0.694
ETRI,7,lat_speed_x_gapdiff,0.6303
ETRI,7,ego_speed_mean5,0.6042
ETRI,7,dhw,0.4051
ETRI,7,lat_offset,0.5927
ETRI,7,lat_speed_std5,0.5856
ETRI,7,preceding_vx,0.5856
ETRI,7,risk_x_gapdiff,0.585
ETRI,7,ego_speed,0.5819
ETRI,7,abs_lat_speed_max5,0.5806
ETRI,7,lat_offset_norm,0.576
ETRI,7,ttc_mean5,0.4268
ETRI,7,ttc_x_speed,0.5723
ETRI,7,gap_right_back,0.5674
ETRI,7,ego_speed_slope5,0.5642
ETRI,7,thw,0.4363
ETRI,7,vos_left,0.4381
ETRI,7,speed_ratio,0.5617
ETRI,7,lat_drift_x_vosdiff,0.5612
ETRI,7,stackelberg_advantage,0.5591
ETRI,7,vos_right,0.5557
ETRI,7,lat_acc,0.4451
ETRI,7,ego_acc,0.554
ETRI,7,ttc_min5,0.4474
ETRI,7,vos_diff,0.5514
ETRI,7,stackelberg_nash_gap,0.4552
ETRI,7,ego_best_action,0.4565
ETRI,7,nash_lc_prob,0.4598
ETRI,7,nash_lk_prob,0.4598
ETRI,7,ttc,0.4621
ETRI,7,lane_id,0.5303
ETRI,7,stackelberg_lc_payoff,0.5299
ETRI,7,threat_asymmetry,0.5249
ETRI,7,gap_diff,0.5239
ETRI,7,gap_left_back,0.5169
ETRI,7,ttc_slope5,0.5167
ETRI,7,gap_right_front,0.4863
ETRI,7,payoff_gap,0.4874
ETRI,7,gap_left_front,0.512
ETRI,7,payoff_lc_max,0.5045
ETRI,7,nash_urgency,0.4975
ETRI,7,payoff_lk,0.4977
ETRI,7,stackelberg_lk_payoff,0.4977
ETRI,7,ego_speed_std5,0.5016
ETRI,7,follower_best_response,0.5
ETRI,7,strategic_commitment,0.5
EMT,7,ttc_mean5,0.5688
EMT,7,lat_offset_norm,0.435
EMT,7,abs_lat_speed_max5,0.5614
EMT,7,nash_urgency,0.5598
EMT,7,ego_speed,0.5559
EMT,7,ego_speed_slope5,0.5552
EMT,7,lane_id,0.5538
EMT,7,ego_acc,0.5516
EMT,7,lat_offset,0.5511
EMT,7,ego_speed_mean5,0.5434
EMT,7,payoff_gap,0.5433
EMT,7,ego_speed_std5,0.5409
EMT,7,dhw,0.5396
