frac,auc,n_ft_groups,n_ft_rows,horizon,target,seed
0.0,0.5333333333333333,0,0,3,ETRI,42
0.1,0.55625,4,18,3,ETRI,42
0.2,0.5885416666666666,8,30,3,ETRI,42
0.4,0.571875,16,66,3,ETRI,42
0.6,0.5520833333333333,25,95,3,ETRI,42
0.8,0.621875,33,143,3,ETRI,42
1.0,0.6333333333333333,42,199,3,ETRI,42
0.0,0.603125,0,0,3,ETRI,0
0.1,0.603125,4,16,3,ETRI,0
0.2,0.600625,8,26,3,ETRI,0
0.4,0.6343749999999999,16,66,3,ETRI,0
0.6,0.6168750000000001,25,97,3,ETRI,0
0.8,0.6443749999999999,33,151,3,ETRI,0
1.0,0.6475,42,181,3,ETRI,0
0.0,0.45,0,0,3,ETRI,1
0.1,0.5178571428571428,4,26,3,ETRI,1
0.2,0.4892857142857143,8,41,3,ETRI,1
0.4,0.47738095238095235,16,83,3,ETRI,1
0.6,0.5369047619047619,25,129,3,ETRI,1
0.8,0.5023809523809524,33,159,3,ETRI,1
1.0,0.5738095238095238,42,203,3,ETRI,1
0.0,0.5677847934754012,0,0,3,EMT,42
0.1,0.5601815311760063,20,126,3,EMT,42
0.2,0.5707313864772428,41,230,3,EMT,42
0.4,0.5772822941331228,82,417,3,EMT,42
0.6,0.5700999736911339,124,610,3,EMT,42
0.8,0.5879373848987108,165,837,3,EMT,42
1.0,0.5791502236253618,207,1053,3,EMT,42
0.0,0.6100438153016515,0,0,3,EMT,0
0.1,0.6122158558963413,20,110,3,EMT,0
0.2,0.6124218252630791,41,193,3,EMT,0
0.4,0.6170093247949668,82,373,3,EMT,0
0.6,0.6267928697150134,124,541,3,EMT,0
0.8,0.605849530015354,165,766,3,EMT,0
1.0,0.6313897314908438,207,979,3,EMT,0
0.0,0.614636901979118,0,0,3,EMT,1
0.1,0.6095917095215833,20,96,3,EMT,1
0.2,0.6095917095215833,41,187,3,EMT,1
0.4,0.5936185133239831,82,378,3,EMT,1
0.6,0.5726585631915225,124,591,3,EMT,1
0.8,0.5633473585787752,165,762,3,EMT,1
1.0,0.5895083372292349,207,989,3,EMT,1
0.0,0.520114094434004,0,0,3,uniD,42
0.1,0.8188524122439894,291,777,3,uniD,42
0.2,0.8525645361758185,583,1582,3,uniD,42
0.4,0.8658895356373163,1167,3142,3,uniD,42
0.6,0.8772710147156576,1750,4695,3,uniD,42
0.8,0.8829640216322926,2334,6250,3,uniD,42
1.0,0.8870951833722629,2918,7845,3,uniD,42
0.0,0.5288429181461626,0,0,3,uniD,0
0.1,0.8181021403374411,291,744,3,uniD,0
0.2,0.8577573452621319,583,1537,3,uniD,0
0.4,0.8754025099213256,1167,3115,3,uniD,0
0.6,0.8829769488732624,1750,4667,3,uniD,0
0.8,0.8827205754368864,2334,6205,3,uniD,0
1.0,0.8899447219708047,2918,7777,3,uniD,0
0.0,0.5023866234511184,0,0,3,uniD,1
0.1,0.8184341047352753,291,803,3,uniD,1
0.2,0.8461819533222137,583,1562,3,uniD,1
0.4,0.8667332086222511,1167,3114,3,uniD,1
0.6,0.8756653277485095,1750,4646,3,uniD,1
0.8,0.8834359004867258,2334,6226,3,uniD,1
1.0,0.8832357604989031,2918,7798,3,uniD,1
0.0,0.4834632473999574,0,0,3,exiD,42
0.1,0.9752305639975494,1476,5817,3,exiD,42
0.2,0.9797116289381557,2952,11656,3,exiD,42
0.4,0.9814922255963185,5904,23282,3,exiD,42
0.6,0.9827399289643979,8856,34881,3,exiD,42
0.8,0.9838489325988579,11808,46466,3,exiD,42
1.0,0.9842434266489025,14760,58099,3,exiD,42
0.0,0.4769650120308255,0,0,3,exiD,0
0.1,0.9761275765125721,1476,5815,3,exiD,0
0.2,0.9790516511680862,2952,11699,3,exiD,0
0.4,0.9814692766282175,5904,23366,3,exiD,0
0.6,0.9820360291849809,8856,34974,3,exiD,0
0.8,0.9824008778277548,11808,46534,3,exiD,0
1.0,0.982985915767769,14760,58111,3,exiD,0
0.0,0.4801221473716246,0,0,3,exiD,1
0.1,0.9739801952839755,1476,5869,3,exiD,1
0.2,0.9794896648187665,2952,11628,3,exiD,1
0.4,0.9799336035666812,5904,23262,3,exiD,1
0.6,0.9815198299183895,8856,34720,3,exiD,1
0.8,0.981866091856455,11808,46404,3,exiD,1
1.0,0.9823010124735773,14760,58071,3,exiD,1
0.0,0.5455555555555556,0,0,5,ETRI,42
0.1,0.5455555555555556,2,4,5,ETRI,42
0.2,0.5411111111111111,5,20,5,ETRI,42
0.4,0.5122222222222222,11,50,5,ETRI,42
0.6,0.5244444444444445,16,96,5,ETRI,42
0.8,0.5966666666666667,22,129,5,ETRI,42
1.0,0.5655555555555556,28,141,5,ETRI,42
0.0,0.6748971193415638,0,0,5,ETRI,0
0.1,0.6748971193415638,2,10,5,ETRI,0
0.2,0.6652949245541838,5,34,5,ETRI,0
0.4,0.720164609053498,11,70,5,ETRI,0
0.6,0.757201646090535,16,96,5,ETRI,0
0.8,0.776406035665295,22,133,5,ETRI,0
1.0,0.784636488340192,28,147,5,ETRI,0
0.0,0.6213151927437641,0,0,5,ETRI,1
0.1,0.5895691609977325,2,36,5,ETRI,1
0.2,0.6099773242630385,5,42,5,ETRI,1
0.4,0.6122448979591837,11,65,5,ETRI,1
0.6,0.5941043083900227,16,91,5,ETRI,1
0.8,0.6598639455782312,22,125,5,ETRI,1
1.0,0.6780045351473923,28,159,5,ETRI,1
0.0,0.5845264562027568,0,0,5,EMT,42
0.1,0.5685415740329035,13,65,5,EMT,42
0.2,0.5214539795464651,26,125,5,EMT,42
0.4,0.5475989328590485,52,224,5,EMT,42
0.6,0.5487105380168964,78,355,5,EMT,42
0.8,0.5590929301911961,104,520,5,EMT,42
1.0,0.5299021787461093,131,663,5,EMT,42
0.0,0.5110360360360361,0,0,5,EMT,0
0.1,0.5061092342342342,13,55,5,EMT,0
0.2,0.5226632882882883,26,145,5,EMT,0
0.4,0.5270270270270271,52,292,5,EMT,0
0.6,0.49777590090090085,78,432,5,EMT,0
0.8,0.5820664414414415,104,605,5,EMT,0
1.0,0.5748029279279279,131,695,5,EMT,0
0.0,0.5258205581761006,0,0,5,EMT,1
0.1,0.5554245283018868,13,66,5,EMT,1
0.2,0.5703862028301887,26,141,5,EMT,1
0.4,0.5428704795597484,52,299,5,EMT,1
0.6,0.5719585298742138,78,419,5,EMT,1
0.8,0.5408559355345912,104,520,5,EMT,1
1.0,0.5596010220125786,131,679,5,EMT,1
0.0,0.5071647985565826,0,0,5,uniD,42
0.1,0.7562859720388272,238,586,5,uniD,42
0.2,0.8027088016208207,477,1173,5,uniD,42
0.4,0.827836940196958,954,2343,5,uniD,42
0.6,0.8450531201806288,1431,3509,5,uniD,42
0.8,0.8561584634458568,1908,4662,5,uniD,42
1.0,0.8585750788738925,2386,5835,5,uniD,42
0.0,0.5028501206816498,0,0,5,uniD,0
0.1,0.7743400242258659,238,615,5,uniD,0
0.2,0.8101134676116545,477,1174,5,uniD,0
0.4,0.841862270708063,954,2368,5,uniD,0
0.6,0.8479852495942104,1431,3530,5,uniD,0
