target,horizon,zeroshot,zeroshot_std,finetune60,finetune60_std,finetune100,finetune100_std,gain60
EMT,3s,0.6059,0.0346,0.5958,0.0509,0.614,0.044,-0.0101
EMT,5s,0.532,0.0391,0.5243,0.0209,0.549,0.007,-0.0077
EMT,7s,0.5319,0.0364,0.5609,0.0419,0.5538,0.073,0.029
ETRI,3s,0.5013,0.0795,0.5428,0.055,0.5704,0.0415,0.0415
ETRI,5s,0.6119,0.0783,0.6184,0.1156,0.6528,0.1277,0.0065
ETRI,7s,0.4793,0.0786,0.53,0.099,0.5936,0.1035,0.0507
exiD,3s,0.4851,0.0042,0.9827,0.0004,0.9839,0.001,0.4976
exiD,5s,0.4452,0.0057,0.9844,0.0019,0.9856,0.0017,0.5392
exiD,7s,0.6521,0.007,0.9588,0.0021,0.9651,0.0023,0.3067
uniD,3s,0.5033,0.0158,0.8727,0.0066,0.8815,0.0049,0.3694
uniD,5s,0.4803,0.0032,0.8484,0.0016,0.8601,0.0023,0.3681
uniD,7s,0.5617,0.0079,0.8107,0.0114,0.8223,0.0082,0.249
