error,dataset,recording_id,vehicle_id,frame,y,pred,ego_speed,ttc,lat_offset,lat_speed,vos_left,vos_right,tags
FP,highD,29,1636,21619,0,0.983,29.05,-32.35,0.299,0.276,145.11,0.0,critical_ttc
FP,MiTra,7,919,7612,0,0.982,20.831,20.951,0.446,0.346,103.32,0.0,none
FP,MiTra,9,1080,11865,0,0.977,20.247,999.0,-1.003,-3.308,0.0,0.0,missing_neighbor|dense_traffic
FP,highD,39,555,7734,0,0.976,36.03,-17.47,0.251,0.306,0.0,0.0,dense_traffic|critical_ttc
FP,MiTra,7,1824,18861,0,0.976,8.262,999.0,-0.836,-2.039,30.28,0.0,none
FP,highD,43,1348,15403,0,0.976,25.09,20.6,-0.396,-0.189,0.0,197.38,none
FP,MiTra,1,777,6999,0,0.974,23.402,999.0,-0.395,-0.17,0.0,0.0,dense_traffic
FP,MiTra,4,2177,19427,0,0.972,8.242,999.0,2.542,0.324,0.0,0.0,missing_neighbor|dense_traffic|off_center
FP,MiTra,4,1449,12725,0,0.971,5.577,999.0,-1.595,-0.229,0.0,0.0,dense_traffic|low_speed|off_center
FP,highD,44,482,5014,0,0.97,35.41,7.3,0.13,-0.339,41.72,84.22,none
FP,highD,6,55,1114,0,0.969,36.36,-12.75,0.126,0.224,0.0,0.0,dense_traffic|critical_ttc
FP,highD,29,1250,16291,0,0.969,33.33,8.03,-0.65,-0.746,0.0,0.0,dense_traffic
FP,NGSIM,3,512,2835,0,0.967,19.797,6.069,-2.286,-0.38,0.0,32.412,off_center
FP,MiTra,7,1685,17752,0,0.966,2.08,999.0,-1.171,-0.065,0.0,0.0,dense_traffic|low_speed
FP,MiTra,8,1084,10882,0,0.965,19.659,999.0,-0.139,0.552,40.5,0.0,none
FP,MiTra,9,1230,16095,0,0.964,0.604,8.917,-1.831,-0.2,0.0,0.0,dense_traffic|low_speed|off_center
FP,NGSIM,1,763,2366,0,0.963,4.59,999.0,0.776,0.224,17.08,0.0,dense_traffic|low_speed
FP,MiTra,7,723,5160,0,0.96,18.686,999.0,0.232,0.307,72.61,0.0,none
FP,MiTra,4,1943,17586,0,0.959,7.915,999.0,-0.468,-0.242,0.0,0.0,dense_traffic|low_speed
FP,MiTra,4,2797,25457,0,0.959,6.348,999.0,0.359,-0.76,0.0,0.0,dense_traffic|low_speed
FN,MiTra,7,2689,29178,1,0.001,15.667,999.0,-60.295,-102.288,0.0,0.0,missing_neighbor|dense_traffic|off_center
FN,MiTra,1,1354,12939,1,0.005,10.303,999.0,-40.384,2.717,0.0,0.0,missing_neighbor|dense_traffic|off_center
FN,MiTra,8,1074,10071,1,0.008,13.123,999.0,0.404,7.639,0.0,0.0,missing_neighbor|dense_traffic
FN,MiTra,7,1366,13327,1,0.013,16.522,3.525,0.254,0.98,0.0,0.0,missing_neighbor|dense_traffic
FN,MiTra,7,2690,29949,1,0.019,0.002,999.0,-2.241,0.0,0.0,0.0,missing_neighbor|dense_traffic|low_speed|off_center|no_lateral_cue
FN,highD,6,491,10331,1,0.03,38.5,0.0,0.212,-0.534,0.0,0.0,dense_traffic|critical_ttc
FN,NGSIM,3,1471,6474,1,0.035,0.0,999.0,-0.41,-0.001,8.681,40.144,low_speed|no_lateral_cue
FN,MiTra,9,1496,18259,1,0.038,14.159,999.0,0.064,0.036,0.0,32.36,no_lateral_cue
FN,highD,33,778,9419,1,0.04,34.32,-156.37,0.18,-0.095,0.0,0.0,missing_neighbor|dense_traffic|critical_ttc
FN,MiTra,7,2262,29359,1,0.042,0.0,999.0,-0.032,-0.0,0.0,0.0,dense_traffic|low_speed|no_lateral_cue
FN,MiTra,8,1037,9587,1,0.043,15.926,999.0,49.501,2.299,0.0,0.0,missing_neighbor|dense_traffic|off_center
FN,highD,17,794,18214,1,0.044,31.27,-889.57,-0.137,-0.088,213.33,0.0,missing_neighbor|critical_ttc
FN,NGSIM,3,1751,7499,1,0.051,0.0,999.0,0.432,0.0,11.009,122.362,low_speed|no_lateral_cue
FN,highD,8,587,10382,1,0.056,34.14,8.22,-0.241,0.373,0.0,151.73,none
FN,MiTra,7,2058,23692,1,0.058,0.001,999.0,0.529,0.0,0.0,0.0,dense_traffic|low_speed|no_lateral_cue
FN,highD,19,448,10601,1,0.061,36.45,-6.77,0.277,-0.222,0.0,0.0,missing_neighbor|dense_traffic|critical_ttc
FN,highD,18,308,7030,1,0.061,49.9,75.79,0.028,-0.128,102.62,0.0,none
FN,MiTra,9,2182,26598,1,0.062,2.692,999.0,-30.971,0.056,0.0,0.0,missing_neighbor|dense_traffic|low_speed|off_center
FN,highD,10,461,7643,1,0.062,28.71,15.13,0.319,0.05,0.0,40.18,no_lateral_cue
FN,MiTra,8,427,603,1,0.066,0.24,999.0,0.003,-0.023,0.89,1.27,dense_traffic|low_speed|no_lateral_cue
