horizon,held_out,members,n_train,n_test,auc,auc_std
3s,Germany,highD+uniD+exiD,33438,114537,0.4985,0.0
3s,USA,NGSIM,143707,4268,0.6573,0.0
3s,Italy,MiTra+EMT,119066,28909,0.6385,0.0
3s,Korea,ETRI,147714,261,0.6014,0.0
5s,Germany,highD+uniD+exiD,31442,47669,0.4688,0.0
5s,USA,NGSIM,75020,4091,0.5779,0.0
5s,Italy,MiTra+EMT,51961,27150,0.5678,0.0
5s,Korea,ETRI,78910,201,0.5837,0.0
7s,Germany,highD+uniD+exiD,29748,21302,0.5861,0.0
7s,USA,NGSIM,47223,3827,0.5458,0.0
7s,Italy,MiTra+EMT,25301,25749,0.5093,0.0
7s,Korea,ETRI,50878,172,0.589,0.0
