dataset,horizon,n_games,pure_pct,mixed_pct,fallback_pct
highD,3,41028,99.21,0.79,0.0
highD,5,26344,99.05,0.95,0.0
highD,7,14608,98.94,1.06,0.0
NGSIM,3,8536,98.61,1.39,0.0
NGSIM,5,8182,98.67,1.33,0.0
NGSIM,7,7654,98.93,1.07,0.0
MiTra,3,54930,98.41,1.59,0.0
MiTra,5,52368,98.4,1.6,0.0
MiTra,7,49990,98.27,1.73,0.0
ETRI,3,522,97.7,2.3,0.0
ETRI,5,402,98.76,1.24,0.0
ETRI,7,344,98.26,1.74,0.0
EMT,3,2888,99.83,0.17,0.0
EMT,5,1932,100.0,0.0,0.0
EMT,7,1508,100.0,0.0,0.0
uniD,3,22198,96.07,3.93,0.0
uniD,5,16710,95.92,4.08,0.0
uniD,7,13296,97.66,2.34,0.0
exiD,3,165848,89.16,10.84,0.0
exiD,5,52284,92.61,7.39,0.0
exiD,7,14700,95.63,4.37,0.0
