,highD,NGSIM,MiTra,ETRI,EMT,uniD,exiD,mean
lane_id,0.0276,0.0438,0.109,0.1224,0.0421,0.0588,0.1972,0.0859
lat_offset,0.0259,0.0744,0.0801,0.0405,0.0765,0.1029,0.0442,0.0635
lat_offset_norm,0.0223,0.0397,0.0662,0.0318,0.1083,0.0617,0.0577,0.0554
lat_speed,0.0714,0.0434,0.0806,0.0883,0.0349,0.0131,0.0437,0.0536
lat_speed_std5,0.0189,0.0192,0.0289,0.0513,0.0723,0.0368,0.1067,0.0477
lat_drift,0.1101,0.0716,0.0689,0.0224,0.0309,0.0088,0.0202,0.0476
ego_speed_mean5,0.0058,0.0175,0.0131,0.0604,0.0986,0.0816,0.0438,0.0458
ego_acc,0.0134,0.0197,0.0512,0.0762,0.0274,0.0388,0.0189,0.0351
abs_lat_speed_max5,0.0131,0.0192,0.044,0.0214,0.0323,0.0158,0.0995,0.035
vos_left,0.0145,0.0646,0.0484,0.0474,0.0173,0.039,0.0066,0.034
gap_left_back,0.0615,0.0648,0.0165,0.0013,0.0083,0.0277,0.037,0.031
ego_speed_std5,0.0119,0.0213,0.0169,0.0697,0.0481,0.0208,0.0159,0.0292
gap_right_front,0.0452,0.0288,0.0312,0.0078,0.0107,0.0621,0.0179,0.0291
ego_speed,0.0092,0.0321,0.02,0.0098,0.0105,0.0328,0.088,0.0289
gap_right_back,0.0465,0.0396,0.0311,0.0017,0.0064,0.0416,0.0266,0.0276
lat_acc,0.0196,0.0174,0.0104,0.0482,0.0484,0.0204,0.0255,0.0271
ttc_x_speed,0.0507,0.0145,0.0118,0.0348,0.0201,0.0,0.0071,0.0199
dhw,0.0134,0.0231,0.0296,0.0015,0.0501,0.0,0.0207,0.0198
lat_speed_x_gapdiff,0.0551,0.0177,0.0055,0.0286,0.0108,0.0158,0.005,0.0198
gap_left_front,0.0195,0.0334,0.0409,0.0158,0.0019,0.0096,0.0165,0.0197
ego_speed_slope5,0.0208,0.016,0.0133,0.0329,0.0332,0.01,0.0112,0.0196
ttc_slope5,0.0692,0.0093,0.0126,0.001,0.0245,0.0069,0.0089,0.0189
speed_ratio,0.0245,0.0204,0.0391,0.0137,0.0309,0.0,0.0035,0.0189
thw,0.0237,0.061,0.016,0.0033,0.0211,0.0,0.0028,0.0183
vos_diff,0.0034,0.0096,0.008,0.0424,0.003,0.0391,0.0042,0.0157
vos_right,0.0074,0.0146,0.006,0.0101,0.0066,0.0201,0.0336,0.0141
payoff_gap,0.0031,0.01,0.002,0.0028,0.0029,0.0629,0.0019,0.0122
preceding_vx,0.0117,0.0142,0.0131,0.0222,0.0218,0.0,0.0022,0.0122
threat_asymmetry,0.0424,0.0051,0.0068,0.0083,0.0026,0.0189,0.0002,0.012
gap_diff,0.0036,0.0191,0.0088,0.01,0.0066,0.0295,0.005,0.0118
stackelberg_lc_payoff,0.0046,0.0118,0.007,0.0191,0.0022,0.0309,0.0008,0.0109
payoff_lc_max,0.0054,0.0272,0.0125,0.0053,0.0037,0.0149,0.0036,0.0104
lat_drift_x_vosdiff,0.0036,0.0178,0.0037,0.0158,0.0051,0.0173,0.0084,0.0102
ttc_mean5,0.0148,0.01,0.0045,0.0119,0.0273,0.0,0.0006,0.0099
risk_x_gapdiff,0.0242,0.0113,0.0026,0.0189,0.0048,0.0,0.0023,0.0092
payoff_lk,0.0079,0.0045,0.0045,0.0,0.0038,0.0329,0.0079,0.0088
ttc_min5,0.0198,0.0079,0.0036,0.0,0.0266,0.0,0.0005,0.0084
stackelberg_advantage,0.0063,0.0053,0.0019,0.0,0.0038,0.0202,0.0015,0.0056
ttc,0.0089,0.0052,0.0159,1e-04,0.0072,0.0,0.0006,0.0054
ego_best_action,0.0184,0.0005,0.0022,0.0005,0.0008,0.0032,1e-04,0.0037
nash_urgency,0.015,0.0027,0.0034,0.0,0.0032,0.0,0.0012,0.0036
stackelberg_nash_gap,0.0035,0.0043,0.0048,0.0003,1e-04,0.0035,1e-04,0.0024
strategic_commitment,1e-04,0.0053,0.0025,0.0,0.0009,0.0,0.0,0.0013
follower_best_response,0.0011,0.0006,0.0002,0.0,0.0,0.0015,1e-04,0.0005
nash_lc_prob,0.0006,0.0006,0.0009,0.0,0.0012,0.0,1e-04,0.0005
lat_offset_slope5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stackelberg_lk_payoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nash_lk_prob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
