feature,mean_abs_shap,is_game
lat_drift,0.3979281,False
lat_offset,0.27549362,False
lane_id,0.2732639,False
lat_speed,0.22836956,False
gap_left_back,0.20562483,False
lat_offset_norm,0.19888929,False
gap_right_back,0.19249958,False
ttc_x_speed,0.13887404,False
ttc_slope5,0.13286194,False
speed_ratio,0.13015632,False
lat_speed_x_gapdiff,0.12950398,False
vos_left,0.12800837,False
gap_right_front,0.12737238,False
abs_lat_speed_max5,0.11461723,False
ttc_mean5,0.11405481,False
ego_speed_slope5,0.10642662,False
thw,0.09280811,False
lat_speed_std5,0.081798345,False
gap_left_front,0.076834194,False
ego_speed,0.07348241,False
