dataset,horizon,purity,auc_all,auc_mixed_only,n_test_vehicles,n_mixed_test_vehicles
highD,3,0.9614,0.8779,0.7426,5865,513
highD,5,0.9771,0.8447,0.719,4775,237
highD,7,0.9859,0.8168,0.6657,3561,100
NGSIM,3,0.788,0.7911,0.7213,756,464
NGSIM,5,0.7852,0.7573,0.6655,730,420
NGSIM,7,0.8095,0.7373,0.6157,707,343
MiTra,3,0.6727,0.8647,0.774,3374,4179
MiTra,5,0.692,0.8531,0.7487,3329,3530
MiTra,7,0.7122,0.8401,0.7295,3247,3299
ETRI,3,0.7869,0.7892,0.7758,36,37
ETRI,5,0.7927,0.8455,0.858,24,70
ETRI,7,0.7679,0.8429,0.8386,16,67
EMT,3,0.7186,0.6522,0.5944,296,499
EMT,5,0.7225,0.607,0.5799,171,280
EMT,7,0.7258,0.5735,0.5326,126,218
uniD,3,0.6484,0.8918,0.8116,1900,2105
uniD,5,0.694,0.9063,0.8342,1774,1607
uniD,7,0.7265,0.87,0.7753,1608,1329
exiD,3,0.1848,0.8521,0.832,21205,98374
exiD,5,0.7631,0.9528,0.8872,13631,11804
exiD,7,0.9073,0.9804,0.912,6361,2323
