dataset,horizon,purity,auc_all,auc_mixed_only,n_test_vehicles,n_mixed_test_vehicles
highD,3,0.962,0.9365,0.8277,5868,472
highD,5,0.9769,0.847,0.7186,4773,259
highD,7,0.9859,0.8164,0.627,3561,110
NGSIM,3,0.7862,0.8706,0.7937,756,499
NGSIM,5,0.7789,0.7777,0.7025,727,458
NGSIM,7,0.8088,0.7445,0.6414,706,368
MiTra,3,0.6732,0.9257,0.8803,3374,3945
MiTra,5,0.6938,0.8852,0.8208,3334,3593
MiTra,7,0.7112,0.8783,0.7935,3247,3354
ETRI,3,0.7869,0.8049,0.8091,36,37
ETRI,5,0.7927,0.8168,0.8495,24,70
ETRI,7,0.7679,0.8289,0.8265,16,67
EMT,3,0.7186,0.6628,0.638,296,499
EMT,5,0.7225,0.6679,0.6387,171,280
EMT,7,0.7258,0.5866,0.5746,126,218
uniD,3,0.6484,0.9347,0.889,1900,2105
uniD,5,0.694,0.9341,0.8793,1774,1607
uniD,7,0.7265,0.9121,0.8382,1608,1329
exiD,3,0.1844,0.9233,0.9129,21212,99507
exiD,5,0.7195,0.9823,0.9485,20236,25662
exiD,7,0.9007,0.9945,0.9596,18849,8772
